돌발일시,관리기관,도로타입,도로번호,도로명,방향,돌발구분,돌발상세구분,돌발내용,X,Y,링크아이디,돌발종료일시,요일,요일구분
2024-11-06 14:30,한국도로공사,고속국도,35.0,중부고속도로,하남 방향,교통사고,사고,"(2차로,갓길)화물차관련사고처리중",127.3555,37.3089,2340606100,-,Wednesday,평일
2024-11-06 19:57,한국도로공사,고속국도,35.0,중부고속도로,남이 방향,공사,작업,(갓길)리모델링아스콘포장작업중,127.4375,36.7088,2840156600,-,Wednesday,평일
2024-11-06 5:34,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,기타돌발,차량증가/정체,차량증가/정체,127.1581,37.5819,2210114900,-,Wednesday,평일
2024-11-07 13:28,국도통합센터,일반국도,21.0,국도21호선,남원 방향,공사,시설물보수작업,,126.57287,36.38721,2870026004,2024-11-07 16:50,Thursday,평일
2024-11-07 16:18,한국도로공사,고속국도,37.0,제2중부고속도로,이천 방향,기타돌발,차량증가/정체,차량증가/정체,127.3073,37.4068,2340606500,-,Thursday,평일
2024-11-07 8:13,한국도로공사,고속국도,50.0,영동고속도로,강릉 방향,기타돌발,차량증가/정체,차량증가/정체,126.9928,37.3178,2007022500,-,Thursday,평일
2024-11-07 8:59,한국도로공사,고속국도,50.0,영동고속도로,강릉 방향,공사,작업,(진출로2차로)시설물보수작업종료,126.8372,37.3478,2160017300,2024-11-07 16:24,Thursday,평일
2024-11-08 16:24,경찰청,도시고속국도,44.0,북부간선도대로,,교통사고,사고,<사고> 북부간선도로 월릉JC 하월곡IC 1차로  고장 차량  서울청,127.061597,37.613497,1070078000,2024-11-08 16:54,Friday,평일
2024-11-08 17:15,한국도로공사,고속국도,30.0,당진대전선,당진 방향,기타돌발,차량증가/정체,차량증가/정체,126.7591,36.714,2980031402,-,Friday,평일
2024-11-08 19:05,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,교통사고,사고,(1차로)승용차관련사고처리중,129.049,35.3707,3880407700,-,Friday,평일
2024-11-08 6:14,한국도로공사,고속국도,25.0,호남고속도로,순천 방향,기타돌발,고장,(갓길)고장차처리중,127.1029,36.0413,3080422000,-,Friday,평일
2024-11-08 8:32,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,공사,작업,(진입로1차로)교량보수작업중,127.1551,37.5994,2210002801,-,Friday,평일
2024-11-09 15:42,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-일산 방향,기타돌발,장애물,(차로교대)낙하물처리중,127.1164,37.4094,2040410400,-,Saturday,주말
